donem,tablo,kalem,sayi
2026-05,karisan_arac_cinsi,Otomobil,19437
2026-05,karisan_arac_cinsi,Minibüs,711
2026-05,karisan_arac_cinsi,Kamyonet,4899
2026-05,karisan_arac_cinsi,Kamyon,517
2026-05,karisan_arac_cinsi,Çekici,624
2026-05,karisan_arac_cinsi,Otobüs,572
2026-05,karisan_arac_cinsi,Traktör,221
2026-05,karisan_arac_cinsi,Arazi Taşıtı,7
2026-05,karisan_arac_cinsi,Özel Amaçlı,63
2026-05,karisan_arac_cinsi,İş Makinesi,39
2026-05,karisan_arac_cinsi,Ambulans,31
2026-05,karisan_arac_cinsi,Tanker,5
2026-05,karisan_arac_cinsi,Tren,4
2026-05,karisan_arac_cinsi,Tramvay,7
2026-05,karisan_arac_cinsi,Diğer,625
2026-05,trafik_cezalari,Yayalara Uygulanan,384
2026-05,trafik_cezalari,Yolculara Uygulanan,8206
2026-05,trafik_cezalari,Sürücülere Uygulanan,387563
2026-05,trafik_cezalari,Araç Plakasına Uygulanan,1715496
2026-05,diger_ekip_faaliyetleri,Alkollü Olarak Araç Kullanan,21485
2026-05,diger_ekip_faaliyetleri,100 Ceza Puanını Dolduran,706
2026-05,diger_ekip_faaliyetleri,51. Madde (Hız İhlali),724
2026-05,diger_ekip_faaliyetleri,Diğer İşlemler,8559
2026-05,diger_ekip_faaliyetleri,Mülki Amire Sevk Edilen Sür. Sayısı,9
2026-05,diger_ekip_faaliyetleri,Trafikten Men Edilen Araç Sayısı,192004
2026-06,kaza_olus_sekli,Karşılıklı Çarpışma,1502
2026-06,kaza_olus_sekli,Arkadan Çarpma,3194
2026-06,kaza_olus_sekli,Yandan Çarpma,10333
2026-06,kaza_olus_sekli,Yan Yana Çarpışma,629
2026-06,kaza_olus_sekli,Duran Araca Çarpma,325
2026-06,kaza_olus_sekli,Zincirleme Çarpışma,146
2026-06,kaza_olus_sekli,Çoklu Çarpışma,148
2026-06,kaza_olus_sekli,Engel/Cisim ile Çarpışma,1136
2026-06,kaza_olus_sekli,Yayaya Çarpma,3740
2026-06,kaza_olus_sekli,Hayvana Çarpma,90
2026-06,kaza_olus_sekli,Devrilme/Savrulma/Takla,4578
2026-06,kaza_olus_sekli,Yoldan Çıkma,2276
2026-06,kaza_olus_sekli,Araçtan Insan Düşmesi,238
2026-06,kaza_olus_sekli,Araçtan Cisim Düşmesi,13
2026-06,kaza_olus_sekli,Park etmis araca çarpma,327
2026-06,karisan_arac_sayisi,Tek Araçlı,11071
2026-06,karisan_arac_sayisi,İki Araçlı,15946
2026-06,karisan_arac_sayisi,Çok Araçlı,1658
2026-06,kusur_unsurlari,SÜRÜCÜ,30682
2026-06,kusur_unsurlari,YAYA,2597
2026-06,kusur_unsurlari,YOLCU,188
2026-06,kusur_unsurlari,ARAÇ,318
2026-06,kusur_unsurlari,YOL,128
2026-06,surucu_kusurlari,"Araç hızını yol, hava ve trafiğin gerektirdiği şartlara uydurmamak",10907
2026-06,surucu_kusurlari,"Kavşak,geçit ve kaplamanın dar old.yerlerde geçiş önc.uymamak",5510
2026-06,surucu_kusurlari,Şerit izleme ve değiştirme kural.uymamak,2642
2026-06,surucu_kusurlari,Arkadan Çarpma,2771
2026-06,surucu_kusurlari,Doğrultu Değiştirme (dönüş) kurallarına uymamak,2568
2026-06,surucu_kusurlari,Manevraları düzenleyen genel şartlara uymamak,1336
2026-06,surucu_kusurlari,Kırmızı ışık veya görevlinin dur işaretinde durmamak,519
