cadde,konum,enlem,boylam,olay,eslesme_uzakligi_km
Cemal Gürsel Caddesi,Karşıyaka Atatürk Anıtı Önü,38.45566,27.12088,5,0.11
Ankara Caddesi,Bölge Metro Öncesi,38.45564,27.20105,5,0.07
Yeşildere Caddesi,Gürçeşme Yol Ayrımı,38.41037,27.15473,5,0.2
Mustafa Kemal Sahil Bulvarı,Göztepe Köprü Altı,38.4003,27.09155,5,0.01
Anadolu Caddesi,Bostanlı İtfaiye Sonrası,38.47005,27.1111,5,1.82
Mürselpaşa Bulvarı,Hilal Köprü,38.42474,27.14908,5,0.47
Halide Edip Adıvar Caddesi,Osman Öksüz Parkı Hizası,38.40367,27.12328,5,0.01
Gazi Osman Paşa Bulvarı,Çankaya Kavşağı,38.42346,27.13757,5,0.01
Altınyol Caddesi,Turan Üst Geçit Altı,38.4471,27.17144,5,2.9
Atatürk Caddesi,Tekel Meydanı,38.43686,27.1476,5,0.07
Yeşillik Caddesi,Buca Köprü Altı,38.38302,27.13486,5,2.94
Anadolu Caddesi,Bayraklı Üst Geçit Öncesi,38.46504,27.16332,5,0.01
Kamil Tunca Bulvarı,Kartal Durağı Öncesi,38.43231,27.19065,5,0
Eşrefpaşa Caddesi,Çankaya Katlı Otopark Sonrası,38.41995,27.13687,5,0.29
Altınyol Caddesi,Alsancak Yol Ayrımı Öncesi,38.44261,27.17074,5,1.94
Mehmet Akif Caddesi,Nato Kavşağı Öncesi,38.39343,27.14262,5,0.01
Kamil Tunca Caddesi,Kartal Durağı Öncesi,38.43231,27.19065,5,0
Yüzbaşı İbrahim Hakkı Caddesi,Smyrna Kavşak İçi,38.46332,27.1773,5,0.04
Şair Eşref Bulvarı,Lozan Kavşak İçi,38.43102,27.14265,5,0
Caher Dudayev Bulvarı,Mavişehir Tramvay Durağı Hizası,38.47533,27.06773,5,0.01
Homeros Bulvarı,Homeros Kavşak İçi,38.40109,27.14982,5,0
Anadolu Caddesi,Karşıyaka Çok Katlı Pazaryeri Öncesi,38.4674,27.11658,5,1.06
Anadolu Caddesi,Yeni Girne Köprü Altı,38.47043,27.11081,5,0.7
Altınyol Caddesi,Turan Otobüs Durakları Sonrası,38.4471,27.17144,5,2.9
Üniversite Caddesi,Ege Üniversitesi Kavşak İçi,38.45775,27.20988,5,0.01
Anadolu Caddesi,Bostanlı İtfaiye Kavşak İçi,38.47005,27.1111,5,1.82
Gazi Osman Paşa Bulvarı,Çankaya Kavşak İçi,38.42346,27.13757,5,0.01
Mustafa Kemal Sahil Bulvarı,Göztepe Kavşak Öncesi,38.4003,27.09155,5,0.01
Mustafa Kemal Sahil Bulvarı,Konak Alt Geçit,38.41866,27.12739,4,0.02
Anadolu Caddesi,Turan Üst Geçit,38.46735,27.14962,4,0.01
Mustafa Kemal Sahil Bulvarı,Göztepe Asma Köprü,38.4003,27.09155,4,0.01
Şehitler Caddesi,Halkapınar Köprü Girişi,38.43406,27.16854,4,0.08
Şehitler Caddesi,Halkapınar Aktarma Köprü Girişi,38.43406,27.16854,4,0.08
Liman Caddesi,Alsancak Gar Kavşağı,38.43965,27.14807,4,0.01
Mustafa Kemal Sahil Bulvarı,Karantina Altgeçit,38.40839,27.10796,4,0.14
Şair Eşref Bulvarı,Tekel Meydanı,38.4358,27.14645,4,0.01
Şehitler Caddesi,Halkapınar Aktarma Kavşağı,38.43406,27.16854,4,0.08
Caher Dudayev Bulvarı,Karya Evleri Öncesi,38.47842,27.06552,4,0.01
Şehitler Caddesi,Halkapınar Köprü İnişi,38.43406,27.16854,4,0.08
Anadolu Caddesi,Soğukkuyu Üst Geçit Hizası,38.4684,27.12174,4,0.6
Yeşillik Caddesi,Bozyaka Ayrımı Öncesi,38.38819,27.13461,4,1.26
Şehitler Caddesi,Halkapınar Kavşağı Öncesi,38.43406,27.16854,4,0.08
Ankara Caddesi,Naldöken Kavşağı,38.45276,27.26592,4,0.07
Fevzipaşa Bulvarı,Çankaya Kavşağı Sonrası,38.42249,27.136,4,0
Ankara Caddesi,Ege Üniversitesi Ayrımı,38.46138,27.22944,4,0.19
Ankara Caddesi,Osman Kibar Tüneli,38.46153,27.22847,4,0
